"","var","sens_0","sens_3","sens_6","spec_0","spec_3","spec_6","ppv_0","ppv_3","ppv_6","npv_0","npv_3","npv_6"
"1","alt_flag1",0.87,0.93,0.9,0.53,0.69,0.62,0.8,0.87,0.87,0.67,0.8,0.69
"2","alt_flag2",0.67,0.7,0.68,0.88,0.96,0.89,0.92,0.98,0.94,0.56,0.58,0.5
"3","cdc_flag",0.57,0.59,0.57,0.93,0.98,0.93,0.94,0.98,0.96,0.5,0.5,0.44
