"","type","var","round_val","n","mean","median","q25","q75","epoch"
"1","Start","cases_weekly",0,9977,119,69,32,136,NA
"2","Start","admits_weekly",1,9977,9.1,6.8,5.7,9.2,NA
"3","Start","perc_covid_100",1,9977,2.4,2,1.1,3.1,NA
"4","Start","deaths_weekly",1,8492,2.1,0,0,2.1,NA
"5","End","cases_weekly",0,9433,112,62,30,128,NA
"6","End","admits_weekly",1,9433,8.7,6.6,5.5,8.8,NA
"7","End","perc_covid_100",1,9433,3.2,2.8,1.4,4.8,NA
"8","End","deaths_weekly",1,8978,2.8,0,0,3.3,NA
"9",NA,NA,NA,4251,1.6,0,0,1.5,"Per 1"
"10",NA,NA,NA,1655,3.9,1.1,0,4.8,"Per 2"
"11",NA,NA,NA,2586,1.9,0,0,1.7,"Per 3"
