"","Start date","State","Duration of 'high' episode (weeks)","Weekly cases per 100K","Weekly hospital admissions per 100K","Percentage of inpatient beds occupied by COVID-19 patients","Weekly deaths per 100K 21 days after start","type","max","check_bound","check_bound2","zeke_time_0","zeke_lt_eq3","zeke_lt_eq6","time_to_zeke"
"17",2021-08-11,"Arizona",29,236,16.9947533335889,10.0540993613767,2.94,"Start",8.96,TRUE,TRUE,TRUE,TRUE,TRUE,0
"18",2021-08-11,"California",5,214,15.0788782499026,12.3195426713109,1.54,"Start",2.31,TRUE,TRUE,FALSE,TRUE,TRUE,2
"19",2021-08-11,"Hawaii",7,267,19.3520318220856,11.5845595336129,2.03,"Start",3.85,FALSE,TRUE,FALSE,TRUE,TRUE,2
"20",2021-08-11,"Idaho",14,216,14.7168681609231,11.5101276362549,3.08,"Start",12.04,FALSE,TRUE,TRUE,TRUE,TRUE,0
"21",2021-08-11,"Indiana",10,201,17.0523270262004,7.73540760747399,2.66,"Start",4.62,TRUE,TRUE,TRUE,TRUE,TRUE,0
"22",2021-08-11,"Montana",18,168,21.23920963942,7.58396185175656,2.8,"Start",10.85,FALSE,FALSE,TRUE,TRUE,TRUE,0
"23",2021-08-11,"North Carolina",10,313,17.1241954202503,10.3862415222915,3.08,"Start",5.18,TRUE,TRUE,FALSE,TRUE,TRUE,1
"24",2021-08-11,"Oregon",9,233,13.372099777677,11.0480137063209,3.08,"Start",5.11,FALSE,TRUE,TRUE,TRUE,TRUE,0
"25",2021-08-18,"Delaware",11,204,15.1987545236834,5.67745688085836,0.7,"Start",3.22,FALSE,TRUE,TRUE,TRUE,TRUE,0
"26",2021-08-18,"New Mexico",28,261,17.3595462481681,11.3475244779767,2.31,"Start",8.82,TRUE,TRUE,TRUE,TRUE,TRUE,0
"27",2021-08-18,"Utah",27,254,13.4437194748028,10.1217366548107,1.68,"Start",3.08,TRUE,TRUE,TRUE,TRUE,TRUE,0
